"DEPARTAMENTO","LOCALIDAD"
"Soriano","Soriano"
"Canelones","Jaureguiberry"
"Salto","Arenal Grande"
"Rocha","Laguna Garzon"
"Rocha","La Esmeralda"
"Paysandú","Las Delicias"
"Canelones","Santa Ana"
"Cerro Largo","Cerro Largo"
"Rocha","Punta Rubia"
"Paysandú","Paso Guerrero"
"Rocha","Puimayen"
"Rocha","Santa Teresa"
"Soriano","Colonia Concordia"
"Canelones","Altos de la Tahona"
"Maldonado","Colorado"
"Canelones","La  Paz"
"Canelones","Colorado"
"Colonia","Minuano"
"Canelones","Cuchilla Alta"
"Maldonado","Chihuahua"
"Canelones","Marindia"
"Flores","Paraje La Bolas"
"Paysandú","Termas del Almiron"
"Lavalleja","Lavalleja"
"Colonia","Santa Regina"
"Rocha","El Caracol"
"Tacuarembó","Rincon de Tranqueras"
"Florida","San Jose de Carrasco"
"Tacuarembó","Rincon de la Aldea"
"Rivera","Valle del Lunarejo"
"Salto","Nueva Hesperides"
"Durazno","Tejera"
"Durazno","Barrio la Curva"
"Canelones","Rio Branco"
"Maldonado","La Bota"
"Rio Negro","Arroyo Sanchez"
"Colonia","Playa las Delicias"
"Maldonado","Laguna del Diario"
"Canelones","Villa Nueva"
"Soriano","Villa Soriano"
"Maldonado","Nueva Carrara"
"Florida","Timote"
"Maldonado","La Floresta"
"San Jose","Solis Chico"
"Canelones","Solis Chico"
"Soriano","Paraje Bizcocho"
"Canelones","Las Vegas"
"Rocha","Antoniopolis"
"Cerro Largo","Placido Rosas"
"Colonia","Puerto de Conchillas"
"Lavalleja","Paraje San Francisco"
"Maldonado","Pinares"
"Maldonado","Rambla de los Balnearios"
"Colonia","La Paz"
"Rio Negro","Playa el Bigua"
"Rocha","Cerro Verde"
"Rio Negro","Rio Negro"
"Canelones","Costa de Oro"
"Soriano","Buena Vista"
"Flores","Flores"
"Paysandú","Esperanza"
"San Jose","Ciudad de la Costa"
"Maldonado","Ocean Park"
"Lavalleja","Matadero de Solis"
"Rocha","Parque Santa Teresa"
"Canelones","Araminda"
"Rocha","San Miguel"
"Canelones","Joanico"
"San Jose","Cuidad del Plata"
"Maldonado","Playa Roca y Mar"
"Rivera","Chuy"
"Colonia","Britopolis"
"Durazno","Centenario"
"Canelones","Arroyo la Coronilla"
"Cerro Largo","Laguna Merin"
"Flores","Pueblo Andresito"
"Colonia","San Pedro"
"Soriano","Marcedes"
"Canelones","Neptunia"
"No aplica","No Aplica"
"San Jose","Zanja Honda"
"Cerro Largo","Lago Merin"
"Canelones","Guazuvira"
"San Jose","Pachina"
"San Jose","Bocas del Cufre"
"Salto","Yacuy"
"Rocha","Playa la Viuda"
"Artigas","Talud Continental"
"Colonia","Barker"
"Canelones","Remanso Neptunia"
"San Jose","Playa Peninos"
"Soriano","Agraciada"
"Paysandú","Cerro Padilla"
"Durazno","Arroyo Caballero"
"Colonia","Los Pinos"
"Rocha","La Coronilla"
"Maldonado","Solanas"
"Tacuarembó",NA
"Maldonado","Bahia del Pinar"
"Durazno","Baygorria"
"Rocha","Costa de Oro"
"Durazno","Rincón del Bonete"
"Rocha","Jose Ignacio"
"Maldonado","Manatiales"
"Canelones","Rambla Costanera"
"Canelones","Paso Hondo"
"Florida","Paso de la arena"
"Colonia","Playa Honda"
"Canelones","Neptunia Sur"
"Soriano","Egaña"
"Canelones","Balneario Argentino"
"Canelones","Villa Felicidad"
"Paysandú","Paraje la lata"
"Florida","Chamizo"
"Florida","Paso de la Arena"
"Cerro Largo","Pueblo Piñeiro"
"Tacuarembó","Balneario Ipora"
